,name,instructions,ingredients
126,The New Go-To Kale Salad,"Stack several kale leaves on top of one another and roll them up into a tight cylinder. With a sharp knife, slice crosswise into very thin, about 1/16 inch, ribbons. Put the kale in a salad spinner, rinse in cool water, and spin until completely dry. Pile the kale into a bowl.Put the chopped garlic on a cutting board and mince it even more until you have a paste. Transfer the garlic to a small bowl, add the pecorino, a few tablespoons of olive oil, lemon juice, chile flakes, salt, and plenty of black pepper, and whisk to combine.Pour the dressing over the kale and toss well to thoroughly combine. Taste and adjust with more lemon, salt, chile flakes, or black pepper. Let the salad sit for about 5 minutes so the kale softens slightly. Top with the toasted breadcrumbs, avocados, more cheese, and drizzle with more oil and the everything bagel seasoning. For the salmon Sprinkle the salmon filets with salt and pepper. Heat a nonstick pan over high heat. Add the oil to the pan and then add the fish. Cook the salmon about 2-3 minutes until there’s a golden crust. Then flip the salmon and cook another minute or two on the skin side. Remove the salmon and add on the salad as needed For the breadcrumbs Melt the butter in a small non stick skillet. Add the panko breadcrumbs and toast for 1-2 minutes until fragrant. Remove from heat and set aside.","▢ 3 bunches lacinato kale Tuscan kale or cavolo nero, thick ribs cut out; ▢ 2 garlic cloves finely chopped; ▢ ⅓ cup finely grated Pecorino Romano cheese plus more to finish; ▢ Extra-virgin olive oil; ▢ Juice of 1 lemon; ▢ ¼ teaspoon dried chile flakes; ▢ Kosher salt and freshly ground black pepper; ▢ Lemon wedges for serving on the side of the salad; ▢ 2 teaspoons everything bagel seasoning; ▢ 1-2 avocados sliced; ▢ 1 lb salmon cut into 4 4-ounce filets; ▢ kosher salt and freshly cracked black pepper; ▢ 1 tablespoon olive oil; ▢ ½ cup panko breadcrumbs; ▢ 2 tablespoons butter"
127,Cilantro Lime Dressing,"In a food processor or small blender, combine all of the ingredients. Process until the mixture is completely smooth with tiny flecks of cilantro.  Taste, and adjust as necessary—if the dressing is overwhelmingly tart, add more honey by the teaspoon. If it tastes a little bitter or needs extra oomph, add another pinch or two of salt. For more spice, add a pinch of red pepper flakes. Blend again.  Serve immediately or store in a covered jar in the refrigerator for up to 1 week.","½ cup extra-virgin olive oil; ½ cup lime juice (from about 4 to 6 limes); 1 cup loosely packed cilantro (mostly leaves, small stems are ok, from about 1 small bunch) ; 1 tablespoon honey or maple syrup, to taste; 1 teaspoon Dijon mustard; ½ teaspoon ground cumin; Scant ½ teaspoon fine salt, to taste; 1 clove garlic, roughly chopped; Optional, for spice: 1 small jalapeño, seeds and ribs removed, and roughly chopped, and/or a pinch of red pepper flakes; Optional, for creamy dressing: 2 tablespoons tahini or ½ cup whole-milk Greek yogurt"
128,Copycat McDonald's Peanut Butter Crunch McFlurry,"Gather the ingredients. Add the ice cream and milk to a blender or food processor and pulse repeatedly until it forms the consistency of traditional soft-serve ice cream. Begin building the McFlurrys, filling each cup with about 3/4 cup of ice cream, followed by a layer of 1/4 cup of the cookie mixture. Repeat this step once more. Insert a wide straw and pump it up and down a few times to incorporate the cookie mixture into the ice cream before enjoying.",1 1/2 quarts old-fashioned vanilla ice cream (about 6 cups); 1/4 cup whole milk; 2 cups crushed peanut butter chocolate cookies
129,Herby Chicken Meatball Pitas with Jalapeño Tzatziki,"Make jalapeno tzatziki sauce: While the meatballs cook, make your jalapeno tzatziki sauce by combining all ingredients for tzatziki sauce and diced jalapeno in a medium bowl. Set aside or cover and place in the fridge until ready to serve. This can also be made 1 to 2 days ahead of time. Prepare the meatballs: Fill a small bowl with water and place it on the counter. In a large bowl, add the ground chicken, egg, panko, red onion, garlic, jalapeno, parsley, mint, dill, oregano, lemon zest, salt and black pepper. Use clean hands to mix until well combined; avoid overmixing otherwise the meatballs will become tough. Form into 16 golf ball sized meatballs, dipping your hands in water between each meatball to prevent sticking. To pan-fry the meatball (my preference for more flavor!): In a large, deep nonstick skillet, warm 1 tablespoon of oil over medium heat. Once the oil is hot, add the meatballs, leaving about ½ inch between each (you may need to do this in batches, depending on how many meatballs you can fit in your skillet without overcrowding them), and brown on all sides until cooked through (a meat thermometer should register 165°F degrees), 10 to 12 minutes. Transfer the meatballs to a plate and repeat with the remaining meatballs, adding more oil, if necessary. To bake the meatballs: Preheat the oven to 400°F. Line a large baking sheet with parchment paper. Place the meatballs at least an 1 inch apart on the parchment paper. Bake until a meat thermometer inserted into the meatball reads 165°F, 17 to 22 minutes. Assemble and serve: You can either slice your pita bread in half and open it to stuff them, or you can use a whole pita bread and treat it like a taco. It depends on how thick your pita bread is. Either way, dollop jalapeno tzatziki sauce in or on each pitta, then add 2 to 3 meatballs, a layer of tomatoes, cucumbers and red onion, feta and dill, if desired. Top with a little more jalapeno tzatziki, if desired, and enjoy!","For the jalapeño tzatziki sauce:; 1 recipe for tzatziki sauce; 1 jalapeño, finely diced (remove seeds if you are heat sensitive)*; For the meatballs:; 1 pound lean ground chicken or turkey (around 93% lean is best); 1 egg; ½ cup panko breadcrumbs; ¼ cup finely diced red onion; 3 cloves garlic, minced (or sub ½ teaspoon garlic powder); 1 jalapeño, finely diced; 3 tablespoons chopped fresh parsley; 2 tablespoons chopped fresh mint; 1 tablespoon chopped fresh dill (or ½ teaspoon dried); 1 teaspoon dried oregano; 1 teaspoon lemon zest; 1 teaspoon kosher salt; Freshly ground black pepper; 2 tablespoons olive oil or avocado oil; For assembly:; 4 to 8 pieces of pita bread, depending on how you want to serve them; 4 mini Persian cucumbers, sliced; 2 roma tomatoes, sliced; ½ red onion, thinly sliced or pickled red onion; Crumbled feta cheese; Extra fresh dill"
130,BA's Best Eggplant Parmesan,"Preheat oven to 350°. Place a Dutch oven or other large heavy ovenproof pot over medium heat. Add ¼ cup extra-virgin olive oil and 1 head of garlic, cloves crushed, and cook, stirring often, until garlic is golden, about 4 minutes. Add 1 large red onion, chopped, 3 oil-packed anchovy fillets (if using), and ½ tsp. crushed red pepper flakes and cook, stirring often, until onion is translucent, about 5 minutes. Stir in 1 Tbsp. tomato paste and cook, stirring often, until slightly darkened, about 2 minutes. Add ¼ cup dry white wine, bring to a boil, and cook until almost completely evaporated, about 1 minute. Add two 28-oz. cans whole peeled tomatoes, breaking up with your hands, and their juices; add ¼ cup torn basil leaves and ½ tsp. dried oregano and stir to combine. Swirl 1½ cups water into one tomato can, then the other, to rinse, and add to pot; season with kosher salt. Transfer pot to oven; roast sauce, stirring halfway through, until thick and tomatoes are browned on top and around edges of pot, 2–2½ hours. Let sauce cool slightly. Pass through the large holes of a food mill or process in a food processor until mostly smooth. Taste and season with salt. Do Ahead: Sauce can be made 2 days ahead. Cover and chill. Lightly season 4 lb. Italian eggplants (about 4 medium eggplants), peeled, sliced lengthwise ½""–¾"" thick, all over with kosher salt; place in a single layer on several layers of paper towels inside a rimmed baking sheet. Top with another layer of paper towels and more slices; repeat as needed. Top with a final layer of paper towels, then another rimmed baking sheet; weigh down with a heavy pot. Let sliced eggplant sit until it has released excess liquid, 45–60 minutes. This step gives the eggplant a creamy texture when baked. Meanwhile, pulse 3 cups panko breadcrumbs, 1½ tsp. dried oregano, 1 tsp. freshly ground black pepper, and ¾ cup finely grated Parmesan cheese in a food processor until very finely ground. Transfer to a shallow bowl. Preheat oven to 350°. Place 1½ cups (187.5 g) all-purpose flour in another shallow bowl and 5 large eggs, beaten to blend, in a third shallow bowl. Working one at a time, dredge eggplant slices in flour, then dip in egg, allowing excess to drip off. Coat in breadcrumb mixture, packing all around, then shaking off excess. Place on wire racks. Heat ⅔ cup extra-virgin olive oil in a large skillet, preferably cast iron, over medium-high. Cook as many eggplant slices as will comfortably fit in pan, turning once, until deep golden brown, about 5 minutes. Transfer to paper towels and immediately press with more paper towel to absorb oil. Working in batches, repeat with remaining eggplant, adding remaining ⅔ cup extra-virgin olive oil and wiping out skillet as needed. Let cool. Taste and season with more salt if needed. Toss ½ cup finely chopped basil and parsley, 6 oz. low-moisture mozzarella cheese, grated (about 1⅓ cups), and remaining ¾ cup finely grated Parmesan cheese in a medium bowl. Spread 1 cup sauce over the bottom of a 13x9"" baking pan or casserole dish; top with a layer of roasted eggplant slices (trim as needed). Drizzle 1 cup sauce over and sprinkle with one third of cheese mixture. Add another layer of eggplant, followed by 1 cup sauce and half of remaining cheese mixture. Repeat layers with remaining slices, sauce, and cheese mixture. Cover with foil and bake on a rimmed baking sheet until eggplant is custardy, 45–60 minutes. Remove from oven and arrange 8 oz. fresh mozzarella cheese, thinly sliced, over eggplant. Increase oven temperature to 425° and bake, uncovered, until cheese is bubbling and browned in spots, 15–20 minutes longer. Let rest 30 minutes. Top with basil leaves just before slicing. Do Ahead: Eggplant Parmesan can be baked 2 days ahead. Let cool; cover with foil and chill. Reheat in a 350° oven, uncovering halfway through, until bubbling gently at edges. Editor’s note: This eggplant parm recipe was first printed in our October 2016 issue. Head this way for more of our favorite casserole recipes →","¼ cup extra-virgin olive oil; 1 head of garlic, cloves crushed; 1 large red onion, chopped; 3 oil-packed anchovy fillets (optional); ½ tsp. crushed red pepper flakes; 1 Tbsp. tomato paste; ¼ cup dry white wine; 2 (28-oz.) cans whole peeled tomatoes; ¼ cup torn basil leaves; ½ tsp. dried oregano;  Kosher salt; 4 lb. Italian eggplants (about 4 medium eggplants), peeled, sliced lengthwise ½""–¾"" thick;  Kosher salt; 3 cups panko breadcrumbs; 1½ tsp. dried oregano; 1 tsp. freshly ground black pepper; 1½ cups finely grated Parmesan, divided; 1½ cups (187.5 g) all-purpose flour; 5 large eggs, beaten to blend; 1⅓ cups extra-virgin olive oil, divided; ½ cup finely chopped basil and parsley, plus basil leaves for serving; 6 oz. low-moisture mozzarella cheese, grated (about 1⅓ cups); 8 oz. fresh mozzarella cheese, thinly sliced"
131,Grilled Cabbage,"Peel away the outermost layers of cabbage and discard them. Cut your cabbage into 2 inch wedges and shave off the very bottom of the stem so it’s nice and clean. I like to cut the cabbage in half first, so I have a steadier base to cut from. You will want to leave the stem intact when you cut your cabbage into wedges so it stays in one piece on the grill. Whisk together the olive oil, minced garlic, sea salt, freshly cracked black pepper, chili flakes, and grated Parmesan in a small bowl. Brush the Parmesan cheese mixture over all sides of each cabbage wedge. Grill the cabbage on each side for 5-6 minutes each on a 400 degree grill. Once you put the cabbage on the grill, resist the urge to move it around. Let it sear in one spot until it’s time to flip. In my opinion, the more char, the better! Dress each grilled cabbage wedge with a drizzle of our balsamic glaze and any additional Parmesan cheese you may have, and sprinkle 1 Tbsp freshly minced parsley on top (all optional). Serve and enjoy!","1 head cabbage (any kind!) cut into 6 wedges*; 1 garlic clove, minced; 3 Tbsp olive oil; 1 tsp sea salt; 1/2 tsp freshly cracked black pepper; 1 tsp chili flakes; 2 Tbsp grated Parmesan"
132,Braised Chickpeas with Zucchini and Pesto,"Place chickpeas and 1 1/2 cups broth in a large braiser or saucepan. Scatter garlic, onion, pepper flakes, salt, and zucchini on top and drizzle olive oil over. No need to stir.  Bring the ingredients to a simmer and cover with a lid to cook for 45 minutes total. However, at the 15-minute mark, remove the lid (but still, no need to stir yet). At the 30-minute mark, stir ingredients to evenly combine. If all of the liquid is gone from the pan or the chickpeas are sticking to the bottom, add remaining 1/2 cup broth.  Remove pan from heat and stir in pesto in dollops. Make divots for the burrata, using your fingers to tear it into chunks before nudging them into the pan. Finish with some parmesan and extra pepper flakes. Ladle into low bowls and serve with grilled bread. Do ahead: Leftovers keep for 4-5 days in the fridge. If you’re planning ahead, I’d wait to add the finishes (burrata and parmesan) until the chickpeas have reheated. Notes: To keep this gluten-free, you’ll need to use a gluten-free bread for serving.  If the layering of onion, garlic, and vegetables sounds a bit like my One-Pan Farro with Tomatoes, it is not accidental. This dish started as a zucchini riff on it, which came out absolutely deliciously but didn’t feel “new” enough to warrant a new recipe on the site. Plus, we loved the chickpea version even more. If you’d like to make it at home, however, simply add the zucchini here instead of the tomatoes in the original recipe and finish it with the pesto, burrata, and parmesan as written here.","2 15-ounce cans of chickpeas, drained and rinsed; 1 1/2 to 2 cups vegetable broth; 4 garlic cloves, thinly sliced; 1 large yellow onion, halved and thinly sliced; 1/4 teaspoon red pepper flakes; 1 1/2 teaspoons kosher salt; 1 pound summer squash or zucchini, quartered lengthwise, thinly sliced; 1/4 cup olive oil; 1/4 cup prepared or storebought basil pesto; 8 ounces of burrata or 1 cup fresh ricotta; Grated parmesan cheese, to finish; Sliced sourdough or country bread, grilled or toasted"
133,Steamed Artichokes,"Trim artichokes: Cut the bottom inch of thorny leaves off each artichoke. Remove any small, discolored leaves around the sides and closer to the stem; they’re not going to taste good. Use a vegetable peeler to remove the outer layer of the stem. Cut each artichoke in half through the stem, heart, and leaves. If you’d like, you can rub the cut parts of each artichoke with one lemon half to limit browning. Steam artichokes: Bring a couple inches of water to boil in a large pot with a lid and place a steamer basket [mine looks like this] in the bottom. Add artichokes — don’t worry about whether they’re standing or flopped over. Squeeze the juice of half a lemon over and nestle the empty lemon half in the middle, just for flavor. Cover with a lid and steam artichokes over moderate heat for 25 to 30 minutes, until the tip of a knife inserts easily into the thickest part where the leaves meet the stem. Use tongs to transfer artichokes to a cutting board, and use a spoon or paring knife to remove and discard the fuzzy choke. Your artichokes are now ready to eat, but if you’d like a fancy finish: For a sizzled finish: Heat a large skillet over medium-high heat and add butter and garlic. Once hot, place cut sides of one artichoke in pan and cook until browned and crisp underneath, then transfer to serving platter. Repeat with remaining artichokes. Pour any butter left in pan and the garlic over your artichokes. Season with salt and pepper. To make my favorite artichoke dip: Place a spoonful of mayo (about 1 to 2 tablespoons, start with less) in a bowl and squeeze the juice of half a lemon over. Stir to combine and season well with freshly ground black pepper and a pinch or two of salt. If it needs more lemon — I like it very lemony — squeeze more in. If you’d prefer it creamier, add more mayo. Leftover artichoke halves keep in the fridge for a few days and can be rewarmed in the microwave or the oven, covered so they don’t dry out.","2 to 3 full-sized fresh artichokes; 1 to 2 lemons, halved; Salt, freshly ground black pepper; A big pat of butter (optional); A few garlic cloves, halved lengthwise (optional); Mayonnaise, for dipping sauce"
134,Endless Summer Tomato Noodle Salad,"Cook 8–9 oz. dried udon noodles or spaghetti in a medium pot of boiling salted water 1 minute longer than package directions. Drain noodles in a colander and rinse under cool running water. Drizzle with a bit of vegetable oil (about 1 tsp.; this will keep the noodles from sticking) and toss to coat. Set noodles aside. Meanwhile, slice a thin round off the bottoms of 12 oz. ripe beefsteak or heirloom tomatoes (1–2 large). Starting at cut end, grate tomatoes on the largest holes of a box grater over a large bowl until all that’s left is the flattened tomato skin and stem; discard. Add ⅓ cup creamy peanut butter, ¼ cup apple cider vinegar, ¼ cup chili crisp, 3 Tbsp. soy sauce, and 4 tsp. sugar and whisk vigorously until sauce is smooth and emulsified. Add 4 oz. cherry tomatoes, halved, quartered if large, and reserved noodles to sauce and toss until well coated. Arrange noodle salad on a platter and top with ⅓ cup salted roasted peanuts, preferably cocktail, and ⅓ cup store-bought fried shallots. Scatter thinly sliced scallions and coarsely chopped cilantro over.","8–9 oz. dried udon noodles or spaghetti;  Vegetable oil (for noodles); 12 oz. ripe beefsteak or heirloom tomatoes (1–2 large); ⅓ cup creamy peanut butter; ¼ cup apple cider vinegar; ¼ cup chili crisp; 3 Tbsp. soy sauce; 4 tsp. sugar; 4 oz. cherry tomatoes, halved, quartered if large; ⅓ cup salted roasted peanuts, preferably cocktail; ⅓ cup store-bought fried shallots;  Thinly sliced scallions and coarsely chopped cilantro (for serving)"
135,Alfredo Corn,"Melt 2 Tbsp. unsalted butter, cut into pieces, in a medium high-sided skillet over medium heat. Add ½ tsp. freshly ground pepper and cook, swirling pan, until fragrant, about 45 seconds. Add 2 cups fresh corn kernels (from about 2 large ears) and cook, tossing often, until tender, about 2 minutes. Mix 2 tsp. cornstarch and ½ tsp. Diamond Crystal or ¼ tsp. Morton kosher salt into ½ cup room-temperature water in a small bowl until dissolved. Add to pan; cook, stirring constantly, until liquid thickens and clings to corn, about 2 minutes. Remove pan from heat. Add 2 oz. Parmesan, finely grated (about 1 cup), and stir vigorously until mixture is creamy and melted. Taste creamed corn and season with more salt if needed. Spoon creamed corn into a shallow bowl. Top with more Parmesan; coarsely crush a handful of store-bought Parmesan cheese crisps over.","2 Tbsp. unsalted butter, cut into pieces; ½ tsp. freshly ground pepper; 2 cups fresh corn kernels (from about 2 large ears); 2 tsp. cornstarch; ½ tsp. Diamond Crystal or ¼ tsp. Morton kosher salt, plus more; 2 oz. Parmesan, finely grated (about 1 cup), plus more for serving;  Store-bought Parmesan cheese crisps (such as Whisps; for serving)"
136,Peach Crisp,"Peel Peaches and slice into ¾ inch thick slices. Add the sliced peaches to a medium size bowl.Add ¼ cup sugar and toss to coat. Allow peaches to sit for about 20 minutes, to allow the sugar to pull some of the juice out of them. To make crumble topping, add all topping ingredients to a bowl. Use a pastry blender or fork to cut in butter until mixture resembles small crumbs. Refrigerate.  Preheat oven to 375 degrees F. Drain the peaches, reserving the peach juice, and placing the peaches in a large bowl.  Measure out ¼ cup of the peach juice and add it to a small bowl (you can discard the rest, or drink it because it's delicious!). Stir in the flour, lemon juice, vanilla, salt, and cinnamon. Pour mixture over peaches and toss to combine.  Pour peaches into a 8×8'' or similar size dish. Sprinkle oat topping evenly over the top. Bake for 30-35 minutes or until golden brown and top is set.  Remove from oven and cool for at least 10 minutes before serving. Serve with vanilla ice cream, if desired.",1/2 cup all-purpose flour; 1/2 cup old-fashioned rolled oats; 1/2 cup light brown sugar; 1/2 teaspoon baking powder; 1/4 teaspoon ground cinnamon; dash of ground nutmeg; dash of salt; 1/3 cup unsalted butter; 3 1/2 pounds fresh peaches; 1/4 cup granulated sugar; 2 Tablespoons all-purpose flour; 2 teaspoons lemon juice; 1/2 teaspoon vanilla extract; dash of salt; dash of cinnamon
137,Curried Sweet Chili Ribs,"Place a rack in middle of oven and preheat to 300°. Mix 3 Tbsp. Diamond Crystal or 1 Tbsp. plus 2¼ tsp. Morton kosher salt, 2 Tbsp. Madras curry powder, 1 Tbsp. garlic powder, 1 tsp. crushed red pepper flakes, 1 tsp. finely grated lime zest, 1 tsp. freshly cracked black pepper, 1 tsp. ground ginger, and 1 tsp. ground turmeric in a small bowl to combine. Sprinkle spice mixture all over 2 racks St. Louis–style pork spareribs (3½–4 lb. total). Scatter 2 small onions, thinly sliced, over 2 large sheets of foil. Set a rack on top of each one; wrap up tightly, using more sheets if needed to cover completely. Place on a baking sheet (if ribs are too large, divide between 2 baking sheets). Bake until a fork slides easily into meat but it is not falling apart, about 3 hours. Remove ribs from oven. Increase oven temperature to 450°. Heat 1 Tbsp. unsalted butter or refined coconut oil in a small saucepan over medium until melted and starting to bubble. Add 1 Tbsp. Madras curry powder and cook, stirring, until fragrant, about 45 seconds. Add 5 garlic cloves, finely chopped, and 2 Tbsp. finely chopped onion; cook, stirring constantly, until fragrant, about 2 minutes. Add 1 Tbsp. tomato paste; cook, stirring often, until slightly darkened in color, about 3 minutes. Stir in 1 cup sweet chili sauce, ¼ cup ketchup, and 1 Tbsp. hot sauce and bring to a simmer. Reduce heat to low; simmer gently until thickened, 8–10 minutes. Unwrap ribs; discard foil and onions. Using a spoon, evenly coat tops of ribs with glaze. (You might have a little left over depending on the size of your ribs.) Bake until a crust forms on ribs, 7–9 minutes. Working one at a time, transfer to a cutting board; cut between ribs to serve. If tailgating and grilling, prepare ribs through baking in foil, then let cool and chill. Prepare glaze in advance and follow do-ahead instructions. When ready to serve, prepare a grill for medium-high heat; brush grate with vegetable oil. Brush glaze on both sides of ribs and grill, turning halfway through, until deeply browned and charred in spots, 8–10 minutes. Do Ahead: Ribs can be made 3 days ahead; let cool. Transfer to an airtight container and chill. Reheat, uncovered, on a baking sheet in a 350° oven. Sauce can be made 2 days ahead; transfer to an airtight container. Cover and chill.","3 Tbsp. Diamond Crystal or 1 Tbsp. plus 2¼ tsp. Morton kosher salt; 2 Tbsp. Madras curry powder; 1 Tbsp. garlic powder; 1 tsp. crushed red pepper flakes; 1 tsp. finely grated lime zest; 1 tsp. freshly cracked pepper; 1 tsp. ground ginger; 1 tsp. ground turmeric; 2 racks St. Louis–style pork spareribs (3½–4 lb. total); 2 small onions, thinly sliced; 1 Tbsp. unsalted butter or refined coconut oil; 1 Tbsp. Madras curry powder; 5 garlic cloves, finely chopped; 2 Tbsp. finely chopped onion; 1 Tbsp. tomato paste; 1 cup sweet chili sauce (such as Mae Ploy); ¼ cup ketchup; 1 Tbsp. hot sauce;  Vegetable oil (optional)"
138,Tortilla Eggs,"Preheat oven to 400℉. Grease 6 cavity muffin tin. Press a mini tortilla into each cavity of muffin tin. Set aside. In a medium mixing bowl or stand mixer fitted with the whisk attachment, beat eggs until scrambled and blend in taco seasoning (and optional chorizo). Pour mixture on into tortillas to fill each tin. Sprinkle with shredded cheese. Bake 15 minutes or until slightly golden and set. Meanwhile, combine tomato, onion, cilantro, jalapeno and lime juice to make pico de gallo. Add a spoonful to each tortilla to serve.","12 mini corn tortillas; 8 ounces chorizo cooked, crumbled; 12 large eggs; ½ teaspoon taco seasoning optional; 1 cup chihuahua cheese shredded; ½ cup tomato chopped (1 small tomato); ½ cup white onion chopped; 1 tablespoon fresh cilantro chopped; 1 tablespoon jalapeño chopped; 2 tablespoons lime juice 1 lime squeezed"
139,Summer pea and watercress soup,"In summer, a light pea soup feels totally right – the watercress in this recipe adds a mustardy bite. Heat a large saucepan and pour in a little olive oil. Throw in the chopped onion and celery. Turn the heat down and cook very gently with the lid on for 10 minutes, or until the onion has softened, but not browned. Add the potato and stock and bring to the boil. Simmer for 10 minutes or until the potato is cooked. Next, drop in the peas and watercress and simmer for a further 5 minutes until the peas are cooked. Remove the pan from the heat. Whiz the soup with a hand blender, or in a liquidizer, until smooth. Taste, then season with salt and pepper. Serve the soup with a spoonful of soured cream swirled in, a drizzle of extra virgin olive oil and some crusty bread and butter. Tip: You can use frozen peas – just simmer them in the stock a couple of minutes","olive oil; 1 onion , peeled and chopped; 2 sticks celery , trimmed and chopped; 1 medium potato , peeled and cubed; 2 litres organic chicken or vegetable stock; 500 g fresh peas , podded; 200 g watercress , washed and spun dry; sea salt; freshly ground black pepper; 142 ml soured cream; extra virgin olive oil"
140,Rosé pesto prawn pasta,"Place 4 whole prawns in a large non-stick frying pan with 1 tablespoon of olive oil, off the heat. Pull off the rest of the prawn heads and chuck them into the pan for bonus flavour. Quickly pull the legs and tails off the prawns and peel off the shells. Run the tip of your knife down their backs and pull out the vein, then chop the prawns. Peel and finely slice the garlic. Put the frying pan on a medium-high heat and, after 2 minutes, stir in the garlic and chopped prawns, followed 1 minute later by the pesto, stirring regularly. Meanwhile, cook the pasta in a pan of boiling salted water according to the packet instructions. Pour the rosé into the prawn pan and let it bubble and reduce for 1 minute. Drain the pasta, reserving a mugful of cooking water, then toss the pasta into the prawn pan, loosening with a little reserved cooking water, if needed. Toss over the heat for 1 minute, then taste, season to perfection with sea salt and black pepper, and dish up.","300 g large raw shell-on king prawns , from sustainable sources; 4 cloves of garlic; 2 heaped teaspoons red pesto; 150 g dried taglierini or angel-hair pasta; 150 ml light rosé wine"
141,Pan Seared Chicken Breasts,"Combine the steak seasoning, smoked paprika, and sweet paprika in a bowl. Coat the chicken breasts liberally with the seasoning on all sides. Add the cooking oil to a large skillet and heat over medium-low (or medium for thin-cut breasts). Once hot, swirl the oil to coat the skillet. Add the chicken breasts to the skillet and cook for about 8 minutes without flipping (5 minutes for thin-cut breasts). Flip the chicken and then cook on the second side until well browned and cooked through (internal temperature of 165ºF). For extra luscious chicken, add a tablespoon of butter to the skillet, allow it to melt, then flip the chicken a couple of times to coat in the melted butter. Transfer the chicken to a clean cutting board and allow it to rest for five minutes before slicing and serving.","2 tsp steak seasoning; 1/2 tsp smoked paprika; 1/2 tsp sweet paprika; 2 boneless, skinless chicken breasts (1.3 lbs. total); 1 Tbsp cooking oil; 1 Tbsp butter (optional)"
142,Sheet Pan Pancakes,"Preheat oven to 425 degrees F. Combine dry ingredients in large bowl: flour, sugar, baking powder, baking soda, salt. Add buttermilk, eggs and melted butter and mix just until wet and dry ingredients are incorporated. You don't want to over-mix the batter. Add milk, a little at a time until batter is still thick, but pourable. Add toppings: Pour batter into greased 13×18’’ pan (bakers half sheet). Add toppings, if desired.  Bake at 425 degrees F for about 14-15 minutes. Cut into squares, and serve warm, with syrup.",2 cups all-purpose flour; 2 Tablespoons granulated sugar; 1½ teaspoons baking powder; ¾ teaspoon baking soda; ½ teaspoon salt; 2 cups buttermilk; 2 large eggs; 2 Tablespoons melted butter; 2-4 Tablespoons milk; chocolate chips; blueberries; bananas; chopped nuts; rainbow sprinkles
143,Creamy Parmesan Italian Sausage Soup,"Cook the sausage and onion in a large saucepan until cooked, breaking the sausage apart as it cooks, before draining any excess grease. Add the garlic, fennel, and red pepper flakes, mix, and cook until fragrant, about a minute. Add the broth, tomatoes, pasta, and Italian seasoning, bring to a boil, reduce the heat and simmer until the pasta is cooked, al-dente, about 6-8 minutes. Add the parmesan, cream cheese, and cream, and let the cheeses melt into the soup, about 3-5 minutes. Season with salt and pepper to taste, mix in the parsley and enjoy!","1 pound Italian sausage, casings removed; 1 onion, diced; 2 cloves garlic, chopped; 1/2 teaspoon ground fennel (optional); 1/2 teaspoon red pepper flakes (optional); 4 cups chicken broth; 1 (14.5 ounce) can petite diced tomatoes; 8 ounces pasta such as ditalini (gluten-free for gluten-free); 1 teaspoon Italian seasoning; 1/2 cup parmigiano reggiano (parmesan), grated; 4 ounces cream cheese (warmed); 1/2 cup heavy/whipping cream; salt and pepper to taste; 1 tablespoon parsley, chopped (optional)"
144,Aperol Margarita,"Salt the rim (optional). Run a lime wedge (the juicy part) around the top rim of your serving glass. Fill a shallow bowl or plate with salt, then dip the rim until it is covered with your desired amount of salt. Set aside. Make the margarita mix. Add tequila, Aperol, lime juice and a few ice cubes to a cocktail shaker. Cover and shake vigorously for about 10 seconds. Serve. Fill the prepared serving glass with ice. Strain in the margarita mix, garnish with an orange or lime slice, serve and enjoy. Cheers!","2 ounces tequila; 1 ounce Aperol; 1 ounce lime juice; ice; Tajín and coarse salt, for rimming the glass"
